identifier,process,crossSection=-1,BR=1,execute=True,dataset,prefix,pattern,splitLevel,::variables,::pyFragments,comment

### See comment field,,,,,,,,,,,Unless otherwise stated; signal x-sections are taken from https://hypernews.cern.ch/HyperNews/CMS/get/higgs/1738.html
###,,,,,,,,,,,in the [120;130] range they are taken from the YR4 SM 13TeV tab; i.e. they are N3LO QCD + NLO EW
###,,,,,,,,,,,while for other mass points they are taken from the YR4 BSM 13TeV tab; i.e. they are in NWA and without EWK corrections; see https://hypernews.cern.ch/HyperNews/CMS/get/higgs/1738/1/1/1.html
###,,,,,,,,,,,For ZH and ttH the BR is obtained as BR(H->ZZ->2L2X) = BR(H->4L) + BR(H->2L2q) + BR(H->ZZ*->2L2nu) * BR(H->2L2nu) / [ BR(H->ZZ*->2L2nu) + BR(H->WW*->2L2nu) ] where BR(H->4L) BR(H->2L2q) and BR(H->2L2nu) are taken from the YR3 Twikis.
###,,,,,,,,,,,For ZH and ttH the BR column also includes the gen filter efficiency (0.15038 for ZH and 0.1544 for ttH).

# ggH125, HZZ, 48.58,0.0002745,,/GluGluHToZZTo4L_M125_13TeV_powheg2_JHUGenV709_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,2,GENXSEC=29.99;GENBR=0.0002745;ADDLHEKINEMATICS=True;VVMODE=1;VVDECAYMODE=0;APPLY_K_NNLOQCD_ZZGG=2;APPLY_QCD_GGF_UNCERT=True;LEPTON_SETUP=2016,RecoProbabilities.py;LHEProbabilities_GG_SIG_0PM_H125_POWHEG.py,

# ttH125, HZZ, 0.5071,0.0007694542606325344,          ,/ttH_HToZZ_4LFilter_M125_13TeV_powheg2_JHUGenV709_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,2,GENXSEC=0.5071;GENBR=0.000769454;VVMODE=1;VVDECAYMODE=-2;LEPTON_SETUP=2016,RecoProbabilities.py;LHEProbabilities_ttH_SIG_0PM_H125_POWHEG.py,

# bbH125, HZZ, 0.4880,2.76E-04,,/bbH_HToZZTo4L_M125_13TeV_JHUgenV702_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v2/MINIAODSIM,dbs,,2,GENXSEC=0.488;GENBR=0.000276;LEPTON_SETUP=2016,RecoProbabilities.py;LHEProbabilities_bbH_SIG_0PM_H125_JHUGen.py,

# tqH125, HZZ, 0.07713,2.76E-04,,/tqH_HToZZTo4L_M125_13TeV_JHUgenV702_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,2,GENXSEC=0.07713;GENBR=0.000276;LEPTON_SETUP=2016,RecoProbabilities.py,# Does not include tWH

# tHW125, HZZ, 0.01517,1,,/THW_ctcvcp_Hincl_13TeV-madgraph-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,2,GENXSEC=0.01517;GENBR=1;LEPTON_SETUP=2016,RecoProbabilities.py, #Inclusive sample at the moment

# #,,,,,,,,,,,ggZH xsec is from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV2014.  However some older numbers I have from HXSWG give 1.227E-01 as the box xsec.  If you multiply by the ratio (triangle+box+int)/box from JHUGen you get 0.02801.  (JHUGen does not provide absolute xsecs.  But its ratios are correct.)  I am not sure if they use box only in the way I interpret it.  I will go with the former number which is more in line with what I expect.
# ggZH125, HZZ, 0.1057,0.003941595,,/GluGluToZH_HToZZTo4L_M125_13TeV_JHUGenV723_pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,dbs,,2,GENXSEC=0.1057;GENBR=0.003941595;LEPTON_SETUP=2016,RecoProbabilities.py,
# WplusH125, HZZ, 0.839913391993366,0.0002745,,/WplusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUGenV709_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,1,GENXSEC=0.85;GENBR=0.0002745;ADDLHEKINEMATICS=True;VVMODE=1;VVDECAYMODE=0;LEPTON_SETUP=2016,RecoProbabilities.py;LHEProbabilities_WH_SIG_0PM_H125_POWHEG.py,

# WminusH125, HZZ, 0.532731376975169,0.0002745,,/WminusH_HToZZTo4L_M125_13TeV_powheg2-minlo-HWJ_JHUGenV709_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,1,GENXSEC=0.5343;GENBR=0.0002745;ADDLHEKINEMATICS=True;VVMODE=1;VVDECAYMODE=0;LEPTON_SETUP=2016,RecoProbabilities.py;LHEProbabilities_WH_SIG_0PM_H125_POWHEG.py,

# ZH125, HZZ, 0.883888217433748,0.0007490295035249965,,/ZH_HToZZ_4LFilter_M125_13TeV_powheg2-minlo-HZJ_JHUGenV709_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,2,GENXSEC=0.7534;GENBR=0.00074903;ADDLHEKINEMATICS=True;VVMODE=1;VVDECAYMODE=-2;LEPTON_SETUP=2016,RecoProbabilities.py;LHEProbabilities_ZH_SIG_0PM_H125_POWHEG.py,

# ###,,,,,,,,,,,qq->ZZ background
ZZTo4l, qqZZ,            1.256,      ,,/ZZTo4L_13TeV_powheg_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,1,GENXSEC=1.256;GENBR=1;PROCESS_CR=True;APPLY_K_NNLOQCD_ZZQQB=True;APPLY_K_NLOEW_ZZQQB=True;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py,
# ZZTo4lext, qqZZ,    1.256,      ,,/ZZTo4L_13TeV_powheg_pythia8_ext1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,1,GENXSEC=1.256;GENBR=1;PROCESS_CR=True;APPLY_K_NNLOQCD_ZZQQB=True;APPLY_K_NLOEW_ZZQQB=True;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py, # Xsection from the gen: 1.218
# # ###,,,,,,,,,,,gg->ZZ background - Xsec from https://twiki.cern.ch/twiki/bin/viewauth/CMS/Run2MCProductionforHiggsProperties#MCFM_ZZ_4l_l_e_mu_tau
# # ###,,,,,,,,,,,gg->ZZ background - Moved to ACOffshell
ggTo4e_Contin_MCFM701, ggZZ,      0.00158549,   ,,/GluGluToContinToZZTo4e_13TeV_MCFM701_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,1,GENXSEC=0.00158549;GENBR=1;PROCESS_CR=False;APPLY_K_NNLOQCD_ZZGG=1;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py;LHEProbabilities_GG_BKG_MCFM.py,
ggTo4mu_Contin_MCFM701, ggZZ,     0.00158549,   ,,/GluGluToContinToZZTo4mu_13TeV_MCFM701_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,1,GENXSEC=0.00158549;GENBR=1;PROCESS_CR=False;APPLY_K_NNLOQCD_ZZGG=1;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py;LHEProbabilities_GG_BKG_MCFM.py,
# ggTo4tau_Contin_MCFM701, ggZZ,    0.00158549,   ,,/GluGluToContinToZZTo4tau_13TeV_MCFM701_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,5,GENXSEC=0.00158549;GENBR=1;PROCESS_CR=False;APPLY_K_NNLOQCD_ZZGG=1;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py;LHEProbabilities_GG_BKG_MCFM.py,
ggTo2e2mu_Contin_MCFM701, ggZZ,   0.00319142,    ,,/GluGluToContinToZZTo2e2mu_13TeV_MCFM701_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,1,GENXSEC=0.00319142;GENBR=1;PROCESS_CR=False;APPLY_K_NNLOQCD_ZZGG=1;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py;LHEProbabilities_GG_BKG_MCFM.py,
# ggTo2e2tau_Contin_MCFM701, ggZZ,  0.00319142,    ,,/GluGluToContinToZZTo2e2tau_13TeV_MCFM701_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,2,GENXSEC=0.00319142;GENBR=1;PROCESS_CR=False;APPLY_K_NNLOQCD_ZZGG=1;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py;LHEProbabilities_GG_BKG_MCFM.py,
# ggTo2mu2tau_Contin_MCFM701, ggZZ, 0.00319142,    ,,/GluGluToContinToZZTo2mu2tau_13TeV_MCFM701_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,dbs,,4,GENXSEC=0.00319142;GENBR=1;PROCESS_CR=False;APPLY_K_NNLOQCD_ZZGG=1;LEPTON_SETUP=2016;SKIM_REQUIRED=True,RecoProbabilities.py;LHEProbabilities_GG_BKG_MCFM.py,

# ###,,,,,,,,,,,VVV
# ZZZ, VZZ, 0.01398,      ,,/ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,dbs,,1,GENXSEC=1;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2016;SKIM_REQUIRED=False,RecoProbabilities.py,
# WZZ, VZZ, 0.05565,      ,,/WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,dbs,,1,GENXSEC=1;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2016;SKIM_REQUIRED=False,RecoProbabilities.py,
# WWZ,,0.1651,      ,,/WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,dbs,,1,GENXSEC=1;GENBR=1;PROCESS_CR=True;LEPTON_SETUP=2016;SKIM_REQUIRED=False,RecoProbabilities.py,


